index,,,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
65,,,17:45:00,5,13:20:00,7:05:00,6,DL30,DL,Delta Airlines,159741,,
66,,,19:20:00,0,13:20:00,8:40:00,1,DL5998,DL,Delta Airlines,160772,,661553
67,,,17:45:00,1,13:20:00,7:05:00,2,DL30,DL,Delta Airlines,160772,,787109
68,,,21:50:00,1,13:20:00,11:10:00,2,DL32,DL,Delta Airlines,160772,,644153
69,,,21:50:00,0,13:20:00,11:10:00,1,DL32,DL,Delta Airlines,160772,,648397
70,,,19:20:00,1,13:20:00,8:40:00,2,DL5998,DL,Delta Airlines,160772,226226,
71,,,17:45:00,0,13:20:00,7:05:00,1,DL30,DL,Delta Airlines,160772,,648397
72,,,21:50:00,1,13:20:00,11:10:00,2,VS4010,VS,Virgin Atlantic,161327,,
73,,,21:50:00,0,13:20:00,11:10:00,1,VS4010,VS,Virgin Atlantic,161327,,
74,,,19:20:00,6,13:20:00,8:40:00,0,DL5998,DL,Delta Airlines,161327,226226,
75,,,22:05:00,6,14:15:00,12:20:00,0,VS3993,VS,Virgin Atlantic,104234,243873,
76,,,22:05:00,1,14:15:00,12:20:00,2,VS3993,VS,Virgin Atlantic,107990,243873,
77,,,22:05:00,2,14:15:00,12:20:00,3,VS3993,VS,Virgin Atlantic,107990,244810,
78,,,22:05:00,0,14:15:00,12:20:00,1,VS3993,VS,Virgin Atlantic,107990,,625056
79,,,15:30:00,0,14:40:00,6:10:00,1,VS3970,VS,Virgin Atlantic,107990,,625056
80,,,15:30:00,2,14:40:00,6:10:00,3,VS3970,VS,Virgin Atlantic,107990,,625056
81,,,15:30:00,1,14:40:00,6:10:00,2,VS3970,VS,Virgin Atlantic,107990,243873,
82,,,15:30:00,6,14:40:00,6:10:00,0,VS3970,VS,Virgin Atlantic,107990,243873,
83,,,22:05:00,5,14:15:00,12:20:00,6,VS3993,VS,Virgin Atlantic,113462,248104,
84,,,22:05:00,3,14:15:00,12:20:00,4,VS3993,VS,Virgin Atlantic,113462,249054,
85,,,15:30:00,5,14:40:00,6:10:00,6,VS3970,VS,Virgin Atlantic,113462,,
86,,,15:30:00,3,14:40:00,6:10:00,4,VS3970,VS,Virgin Atlantic,113462,,
87,,,22:05:00,6,14:15:00,12:20:00,0,DL84,DL,Delta Airlines,160536,243873,
88,,,20:05:00,6,14:30:00,10:35:00,0,DL8672,DL,Delta Airlines,160536,243873,661763
89,,,20:05:00,6,14:30:00,10:35:00,0,AF689,AF,Air France,161330,,662972
90,,,16:35:00,6,14:30:00,7:05:00,0,DL8517,DL,Delta Airlines,166322,243873,661763
91,,,15:30:00,6,14:40:00,6:10:00,0,DL82,DL,Delta Airlines,166322,243873,
92,,,22:05:00,1,14:15:00,12:20:00,2,DL84,DL,Delta Airlines,166463,243873,
93,,,22:05:00,0,14:15:00,12:20:00,1,DL84,DL,Delta Airlines,166463,,
94,,,16:35:00,1,14:30:00,7:05:00,2,DL8517,DL,Delta Airlines,166463,243873,
95,,,20:05:00,2,14:30:00,10:35:00,3,DL8672,DL,Delta Airlines,166463,244810,620812
96,,,16:35:00,0,14:30:00,7:05:00,1,DL8517,DL,Delta Airlines,166463,,
